Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
101,ヴァイパー,0521,2025-05-21 14:50:05,
102,グリムリーパー,0521,2025-05-21 14:50:05,
103,カーネイジ,0521,2025-05-21 14:50:05,
104,ブラッドステイン,0521,2025-05-21 14:50:05,
201,ヘルム,0521,2025-05-21 14:50:05,
202,アーマー,0521,2025-05-21 14:50:05,
203,グローブ,0521,2025-05-21 14:50:05,
204,ブーツ,0521,2025-05-21 14:50:05,
301,ネックレス,0521,2025-05-21 14:50:05,
302,イヤリング,0521,2025-05-21 14:50:05,
303,リング,0521,2025-05-21 14:50:05,
304,ブレスレット,0521,2025-05-21 14:50:05,
305,ベルト,0521,2025-05-21 14:50:05,
401,香水,0521,2025-05-21 14:50:05,
402,ゴブレット,0521,2025-05-21 14:50:05,
403,万年筆,0521,2025-05-21 14:50:05,
